Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,Affiliation 21,Activity 21,Affiliation 22,Activity 22,Affiliation 23,Activity 23,Affiliation 24,Activity 24,Affiliation 25,Activity 25,Affiliation 26,Activity 26,Affiliation 27,Activity 27,Affiliation 28,Activity 28,Affiliation 29,Activity 29,Affiliation 30,Activity 30,Affiliation 30,Activity 30,Affiliation 31,Activity 31,Affiliation 32,Activity 32,Affiliation 33,Activity 33,Affiliation 34,Activity 34,Affiliation 35,Activity 35,Affiliation 36,Activity 36,Affiliation 37,Activity 37,Affiliation 38,Activity 38,Affiliation 39,Activity 39,Affiliation 39,Activity 39,Affiliation 40,Activity 40,Affiliation 41,Activity 41,Affiliation 42,Activity 42,Affiliation 43,Activity 43,Affiliation 44,Activity 44,Affiliation 45,Activity 45
"Ministry of Health, Jakarta",,,,,,,,,,,,,,,,,,,,,,,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merck Co. & Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DiViNe,Vaccine Development,,,,,,,,,,,,,,,,,,,,,,,,
Orchestrall Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinTec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh Napier University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proton Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL Eduneering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novartis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synergy Research Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra Zeneca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedrich Loeffler Institut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,EMERGE,Laboratory Methods,EVAg,Information Sharing,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consejo Superior de Investigaciones Cientificas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genome Research Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViroClinics Biosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Koch Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Centre on Transfusion Haematology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillips-Universistat Marburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Nocht Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Thessaloniki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,,,,,,,,,,,,,,,,,COMPARE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Centre for Epidemiology of Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut Nacional de Saude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Ljubljana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Health Agency of Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Health England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leiden University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirbright Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Institute of Influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute for Communicable Disease of South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,Zika Task Force,Epidemiology,Chikungunya Task Force,Epidemiology,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chumakov Institute of Poliomyelitis and Viral Encephalitides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Research Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Animal Health Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechnikov Scientific Research Institute for Vaccines and Sera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wuhan Institute of Virology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacettepe University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St-Petersburg Pasteur Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Molecular Diagnostics and Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHESKIO Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellenic Pasteur Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Pasteur Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istituto Zooprofilattico Sperimentale delle Venezie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aix-Marseille University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,ZIKAlliance,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Academy of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiez Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMLab,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Malaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington University School of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,,
UCSF School of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre de Recerca en Sanitat Animal de Catalonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johns Hopkins Bloomberg School of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,ICEMR,Clinical Trials,,
US Army Medical Research Institute of Infectious Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale School of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut de Recherche pour le Développement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Curtin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut Pasteur de Dakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Doherty Institute for Infection and Immunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emory School of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,RECOLZIKA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
University of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zika Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado St. University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Karolinska Institut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,IDDO,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Sinai Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Georges' University of Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Tartu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chikungunya Task Force,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Society of Human Genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya Agricultural Research Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Khartoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AfriCoLeish,Drug Development,,,,,,,,
Institut Pasteur de Tunis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université de Yaoundé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute of Human Virology Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Ilorin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Witwatersrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard School of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICEMR,Clinical Trials,Team B,Information Sharing
Sussex Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instituto Nacional de Saúde Pública, Ministério da Saúde de Cabo Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MRC Unit, The Gambia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,ARCTEC,Laboratory Methods,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Navrongo Health Research Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria Research and Control Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noguchi Memorial Institute for Medical Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Buea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Université des Sciences de la Santé, Gabon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Institut National de Recherche Biomédicale, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,IDDO,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katyavala Bwila University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addis Ababa University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US Army Medical Research Unit, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona Center for International Health Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Institute for Medical Research, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDNA,Epidemiology,THRiVE,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulu University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRiVE,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Centre of Insect Physiology and Ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRiVE,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRiVE,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radboud University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Turku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissariat à l'Energie Atomique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,ZIKAlliance,Epidemiology,,,,,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,
